file_path,signal_variance,rhythm_echo_strength,centroid_variance,spectral_slope,mfcc_12_max,mfcc_12_std,zcr_mean,spectral_crest_max,spectral_flatness_range,spectral_contrast_mean,rms_mean,rms_std,tempogram_mean,label
../data/raw/pump/id_00/normal/00000482.wav,9.225e-05,1.2258817,14315.25354681,-4.942e-05,8.22932053,3.36239648,0.09312132,36.72919464,0.07782778,14.70411894,0.00956206,0.00066013,0.27220571,0
../data/raw/pump/id_00/normal/00000061.wav,0.00010354,0.79491198,29193.62099316,-5.154e-05,13.65229416,4.54547167,0.06808325,56.69152451,0.06989086,15.0520448,0.01011269,0.00087923,0.24751498,0
../data/raw/pump/id_00/normal/00000832.wav,9.193e-05,0.63982904,11035.86645658,-5.209e-05,7.0129261,3.6706357,0.07370551,55.35774612,0.05154239,15.0324191,0.00953333,0.00074495,0.25456936,0
../data/raw/pump/id_00/normal/00000888.wav,9.615e-05,0.81465858,20741.09297528,-5.087e-05,8.59381485,3.80161381,0.06621281,61.13484192,0.03088876,15.04400408,0.00975498,0.00075244,0.24855066,0
../data/raw/pump/id_00/normal/00000640.wav,8.731e-05,0.40552661,11042.06689191,-5.856e-05,9.45656776,3.08319116,0.11702682,27.46543503,0.08353158,14.80067099,0.00930212,0.00067563,0.27671496,0
../data/raw/pump/id_00/normal/00000029.wav,9.813e-05,1.08239138,13621.44346286,-4.82e-05,4.56617308,4.44720745,0.11106292,62.98577499,0.07499555,17.0108117,0.00983081,0.00107759,0.24631135,0
../data/raw/pump/id_00/normal/00000819.wav,9.196e-05,1.68161023,12712.56037336,-5.172e-05,8.19454765,3.46137881,0.07583023,60.77764893,0.05718079,15.3462881,0.00953396,0.00085489,0.25362857,0
../data/raw/pump/id_00/normal/00000169.wav,7.877e-05,0.57096964,13266.73824027,-4.744e-05,12.07145691,3.99714971,0.1161891,47.55069733,0.07571188,16.77580464,0.00882795,0.00076905,0.25539798,0
../data/raw/pump/id_00/normal/00000753.wav,9.4e-05,1.01039231,4819.3563269,-5.721e-05,8.87720871,3.00902224,0.0698055,45.27323532,0.02783844,15.07165197,0.00965806,0.00060952,0.26018313,0
../data/raw/pump/id_00/abnormal/00000094.wav,6.12e-05,0.5326013,7575.11150239,-4.073e-05,14.04724312,3.37366915,0.10891012,48.67386627,0.05716584,16.68673333,0.00777647,0.00070851,0.26915047,1
../data/raw/pump/id_00/normal/00000033.wav,9.428e-05,0.71963412,32470.78621434,-5.474e-05,9.08028507,5.08431387,0.11349185,48.86619949,0.10646853,15.48436257,0.00953464,0.00176209,0.25783655,0
../data/raw/pump/id_00/normal/00000815.wav,9.329e-05,2.17427516,10208.7624167,-4.469e-05,10.05620575,4.26854563,0.08384241,71.16828156,0.06548647,15.80944906,0.00949706,0.00166649,0.23411816,0
../data/raw/pump/id_00/abnormal/00000054.wav,0.00026513,1.27329814,5686.1733591,-0.00010085,4.48875999,3.20879769,0.0924552,33.77719116,0.02833409,15.17486355,0.01606531,0.00246279,0.26473306,1
../data/raw/pump/id_00/normal/00000745.wav,7.122e-05,0.66313273,5242.06135504,-4.254e-05,12.46538448,3.73770142,0.09693553,51.38302612,0.03859437,16.96931546,0.00838928,0.00076091,0.26745809,0
../data/raw/pump/id_00/normal/00000404.wav,7.202e-05,0.73157668,8995.48927066,-4.408e-05,11.0018158,3.70666623,0.10469811,46.79961014,0.04922798,16.79903642,0.00844101,0.00069121,0.26922751,0
../data/raw/pump/id_00/abnormal/00000098.wav,7.117e-05,0.46492454,142352.11310521,-4.76e-05,7.28751183,3.40768027,0.15413619,44.74360275,0.20848665,15.18031449,0.00829304,0.00144795,0.27701294,1
../data/raw/pump/id_00/normal/00000506.wav,8.399e-05,0.90837109,5604.44863801,-4.369e-05,12.68620014,3.19689608,0.09894169,71.957901,0.03400566,17.35156584,0.00908732,0.00102808,0.27113566,0
../data/raw/pump/id_00/normal/00000338.wav,9.754e-05,1.37538958,11939.67582953,-5.584e-05,11.82185555,3.55166078,0.07293331,46.36247253,0.03015903,15.13105345,0.00983312,0.00067846,0.26011431,0
../data/raw/pump/id_00/normal/00000322.wav,8.138e-05,0.63426876,10162.94630344,-4.363e-05,11.78126144,3.14812684,0.10645467,78.4129715,0.05209991,17.18947647,0.00894634,0.00102656,0.27122051,0
../data/raw/pump/id_00/normal/00000543.wav,9.282e-05,2.59691119,6833.32430299,-4.39e-05,5.6029501,3.68291235,0.08405926,59.87170792,0.04333872,16.57697149,0.00957473,0.00088182,0.26143949,0
../data/raw/pump/id_00/normal/00000334.wav,9.714e-05,0.87122118,7055.76257471,-5.696e-05,9.19029999,3.14087796,0.07926536,43.35393143,0.03292681,14.69623305,0.00981303,0.00071478,0.26954692,0
